"","Year","GrandPrix","Driver","Car","Time"
"1",1950,"Great Britain"," Nino Farina ","Alfa Romeo","1:50.600"
"2",1950,"Monaco"," Juan Manuel Fangio ","Alfa Romeo","1:51.000"
"3",1950,"Indianapolis 500"," Johnnie  Parsons ","Kurtis Kraft Offenhauser",""
"4",1950,"Switzerland"," Nino Farina ","Alfa Romeo","2:41.600"
"5",1950,"Belgium"," Nino Farina ","Alfa Romeo","4:34.100"
"6",1950,"France"," Juan Manuel Fangio ","Alfa Romeo","2:35.600"
"7",1950,"Italy"," Juan Manuel Fangio ","Alfa Romeo","2:00.000"
"8",1951,"Switzerland"," Juan Manuel Fangio ","Alfa Romeo","2:51.100"
"9",1951,"Indianapolis 500"," Lee Wallard ","Kurtis Kraft Offenhauser","1:07.260"
"10",1951,"Belgium"," Juan Manuel Fangio ","Alfa Romeo","4:22.100"
"11",1951,"France"," Juan Manuel Fangio ","Alfa Romeo","2:27.800"
"12",1951,"Great Britain"," Nino Farina ","Alfa Romeo","1:44.000"
"13",1951,"Germany"," Juan Manuel Fangio ","Alfa Romeo","9:55.800"
"14",1951,"Italy"," Nino Farina ","Alfa Romeo","1:56.500"
"15",1951,"Spain"," Juan Manuel Fangio ","Alfa Romeo","2:16.930"
"16",1952,"Switzerland"," Piero  Taruffi ","Ferrari","2:49.100"
"17",1952,"Indianapolis 500"," Bill  Vukovich  ","Kurtis Kraft Offenhauser","1:06.600"
"18",1952,"Belgium"," Alberto Ascari ","Ferrari","4:55.000"
"19",1952,"France"," Alberto Ascari ","Ferrari","2:17.300"
"20",1952,"Great Britain"," Alberto Ascari ","Ferrari","1:52.000"
"21",1952,"Germany"," Alberto Ascari ","Ferrari","10:05.100"
"22",1952,"Netherlands"," Alberto Ascari ","Ferrari","1:49.800"
"23",1952,"Italy"," Alberto Ascari ","Ferrari","2:06.100"
"24",1953,"Argentina"," Alberto Ascari ","Ferrari","1:48.400"
"25",1953,"Indianapolis 500"," Bill  Vukovich  ","Kurtis Kraft Offenhauser","1:06.240"
"26",1953,"Netherlands"," Luigi  Villoresi ","Ferrari","1:52.800"
"27",1953,"Belgium"," Jose Froilan Gonzalez ","Maserati","4:34.000"
"28",1953,"France"," Juan Manuel Fangio ","Maserati","2:41.100"
